Title,Creator,Date,Date Approx,Description,Camp Number,Company Number,Keywords (separate with semi-colon and a space),Source,Geographic Location (place depicted or described in the material),Latitude,Longitude,Format Original,Digital Collection (we will fill this in) ,Digital Format,Type,Contributing Institution,Language,Identifier,Rights,Filename (ends in .pdf or .jpg)
Enrollees splitting wood ,,1935-01-01,yes,"Enrollees splitting wood to work off their excess fines beyond their paychecks. The back of the photograph reads: ""Saturday morning working out their fines!""",,,wood; men; camps; tents,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_014a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_014a.jpg
Men loaded into trucks,,1935-01-01,yes,Men in the photograph are loaded into trucks outside of buildings at a CCC camp.,,,camps; men; trucks,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_015,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_015.jpg
Capt. B.B. Penalta and Lt. W. C. Mansfield,,1935-01-01,yes,Captain B.B. Penalta and Lieutenant W.C. Mansfield stand in uniform outside of a tent in a CCC camp.,,,personnel; men; tents,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_016a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_016a.jpg
"""Pat"" Saddler, fire boss in the Avery fire",,1935-01-01,yes,"""Pat"" Saddler was the Fire boss on the Avery fire. He can be seen standing in front of a line of tents. The back of the photograph reads: ""'Pat' Saddler - my boss on the fire in Avery.""",,C-1503,personnel; men; tents,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_017a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_017a.jpg
Lt. E. W. Field and Lt. W.C. Mansfield,,1935-01-01,yes,Lieutenant E. W. Field and Lieutenant W.C. Mansfield stand in uniform outside a tent in a CCC camp.,,,personnel; camps; tents,Cadwaladr Jones Jr. family,United States -- Idaho -- Latah County -- Bovill,46.861330,116.388259,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_018a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_018a.jpg
Camp Pritchard possibly,,1935-01-01,yes,"Two enrollees talk in the foreground while another group of enrollees stands to the side upon arrival at Camp Prichard. The back of the photograph reads: ""The camp as it was the day we arrived.""",,,camps; tents; forests,Cadwaladr Jones Jr. family,United States -- Idaho -- Shoshone County -- Prichard,47.653491,-116.006539,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_019a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_019a.jpg
Enrollees playing volleyball,,1935-01-01,yes,A group of enrollees play volleyball at Camp Prichard. ,,,camps; volleyball,Cadwaladr Jones Jr. family,United States -- Idaho -- Shoshone County -- Prichard,47.653491,-116.006539,photographic print,Civilian Conservation Corps in Idaho,image/jpg,image; still image,Cadwaladr Jones Jr. family,eng,Cadwaladr_020a,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Cadwaladr_020a.jpg
"Nicholas John Busch, a biography","Busch, Michael",1990-01-01,yes,"biography of Nicholas Busch, officer at French Creek",F-109,C-2939,officers; military; camp life; Salmon River Road,Michael Busch,United States -- Idaho -- Idaho County -- French Creek,45.414939,-116.025785,paper,Civilian Conservation Corps in Idaho,application/pdf,text,Michael Busch,eng,Busch_Nicholas_biography,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Busch_Nicholas_biography.pdf
A Pilgrim in the Civilian Conservaton Corps and the Payette National Forest,"Flood, Floyd",1986-01-01,yes,Detailed personal history of former CCC enrollee and LEM,F-108,,enrollee; camp life; Salmon River,Payette National Forest,United States -- Idaho -- Valley County -- McCall,44.910834,-116.102074,report,Civilian Conservation Corps in Idaho,application/pdf,text,Payette National Forest,eng,Pilgrim_CCC_PayetteNF,"No Known Copyright. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NKC/1.0/",Pilgrim_CCC_PayetteNF.pdf
Utterly visionary and chimerical: a federal response to the Depression. an examination of Civilian Conservation Corps construction on national forest system lands in the Pacific Northwest.,"Throop, Elizabeth Gail",1979-07-27,,"This Masters thesis discusses the historical impact of the CCC on the economy and focuses on the architecture and construction projects in the Northwest, specifically the Ninth Corps Area of Washington and Oregon.",,,architecture; buildings (structures); construction; LEMs; civilians,Portland State University,United States -- Idaho -- Washington County -- Weiser,44.670186,-116.941921,thesis,Civilian Conservation Corps in Idaho,application/pdf,text,Elizabeth Gail Throop,eng ,Utterly_Visionary_and_Chimerical,"In Copyright - Educational Use Permitted by Rights Holder, Elizabeth Gail Throop. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",Utterly_Visionary_and_Chimerical.pdf
"Civilian Conservation Corps,  1933 – 1942, on the  Payette National Forest","Dzuranin, Dan",1994-09-01,yes,"A review of the impacts and organization of the CCC in the Payette National Forest, including research and historic context for the State Historic Preservation Office decision committees. ",,,Payette National Forest; campgrounds; forests; recreation; fire management; roads,Payette National Forest,United States -- Idaho -- Valley County -- McCall,44.909949,-116.105318,report,Civilian Conservation Corps in Idaho,application/pdf,text,Payette National Forest,eng ,CCC_1933-42_On_PayetteNF,"No Known Copyright. Digital reproduction rights assigned to the University of Idaho Library by contributing institution. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NKC/1.0/",CCC_1933-42_On_PayetteNF.pdf
